customerID,Churn
0402-OAMEN,No
0404-AHASP,No
0404-SWRVG,Yes
0406-BPDVR,Yes
0407-BDJKB,Yes
0409-WTMPL,No
0410-IPFTY,No
0411-EZJZE,No
0412-UCCNP,No
0415-MOSGF,Yes
0419-YAAPX,No
0420-BWTPW,Yes
0420-HLGXF,No
0420-TXVSG,No
0422-OHQHQ,No
0422-UXFAP,No
0423-UDIJQ,No
0426-TIRNE,Yes
0428-AXXLJ,No
0428-IKYCP,No
0430-IHCDJ,No
0431-APWVY,Yes
0432-CAJZV,No
0434-CSFON,No
0436-TWFFZ,No
0439-IFYUN,No
0440-EKDCF,No
0440-MOGPM,No
0440-QEXBZ,No
0440-UEDAI,No
0442-TDYUO,No
0442-ZXKVS,No
0447-BEMNG,Yes
0447-RXSGD,No
0454-OKRCT,No
0455-ENTCR,No
0455-XFASS,No
0458-HEUZG,No
0459-SPZHJ,No
0461-CVKMU,Yes
0463-TXOAK,No
0463-WZZKO,No
0463-ZSDNT,No
0464-WJTKO,No
0468-YRPXN,No
0471-ARVMX,No
0471-LVHGK,Yes
0475-RIJEP,Yes
0479-HMSWA,No
0480-BIXDE,No
0480-KYJVA,No
0481-SUMCB,No
0484-FFVBJ,No
0484-JPBRU,No
0485-ZBSLN,No
0486-HECZI,Yes
0486-LGCCH,No
0487-CRLZF,No
0487-RPVUM,No
0487-VVUVK,No
0488-GSLFR,Yes
0489-WMEMG,No
0491-KAPQG,No
0495-RVCBF,Yes
0495-ZBNGW,Yes
0496-AHOOK,No
0504-HHAPI,Yes
0505-SPOOW,No
0506-LVNGN,Yes
0506-YLVKJ,No
0508-OOLTO,No
0508-SQWPL,No
0511-JTEOY,Yes
0512-FLFDW,No
0513-RBGPE,No
0515-YPMCW,Yes
0516-OOHAR,No
0516-QREYC,No
0516-UXRMT,No
0516-VRYBW,Yes
0516-WJVXC,Yes
0519-DRGTI,No
0519-XUZJU,Yes
0520-FDVVT,Yes
0523-VNGTF,No
0524-IAVZO,Yes
0526-SXDJP,No
0529-ONKER,Yes
0530-IJVDB,No
0531-XBKMM,No
0531-ZZJWQ,No
0533-BNWKF,Yes
0533-UCAAU,No
0536-ACXIP,No
0536-BGFMZ,No
0536-ESJEP,No
0537-QYZZN,No
0541-FITGH,No
0547-HURJB,No
0549-CYCQN,No
0550-DCXLH,No
0556-FJEGU,No
0557-ASKVU,No
0559-CKHUS,No
0562-FGDCR,No
0562-HKHML,No
0562-KBDVM,No
0564-JJHGS,Yes
0564-MUUQK,No
0565-IYCGT,Yes
0565-JUPYD,No
0567-GGCAC,No
0567-XRHCU,No
0568-ONFPC,Yes
0570-BFQHT,No
0572-ZJKLT,No
0575-CUQOV,No
0576-WNXXC,Yes
0577-WHMEV,No
0578-SKVMF,Yes
0580-PIQHM,No
0581-BXBUB,No
0581-MDMPW,No
0582-AVCLN,No
0584-BJQGZ,No
0585-EGDDA,No
0587-DMGBH,Yes
0594-UFTUL,No
0595-ITUDF,No
0596-BQCEQ,Yes
0599-XNYDO,No
0601-WZHJF,Yes
0602-DDUML,No
0603-OLQDC,No
0603-TPMIB,No
0604-THJFP,No
0607-DAAHE,Yes
0607-MVMGC,No
0608-JDVEC,No
0611-DFXKO,Yes
0612-RTZZA,Yes
0613-WUXUM,No
0616-ATFGB,Yes
0617-AQNWT,Yes
0617-FHSGK,Yes
0618-XWMSS,Yes
0619-OLYUR,No
0620-DLSLK,No
0620-XEFWH,No
0621-CXBKL,No
0621-HJWXJ,No
0621-JFHOL,No
0621-TSSMU,No
0621-TWIEM,Yes
0623-EJQEG,No
0623-GDISB,No
0623-IIHUG,Yes
0625-AFOHS,No
0626-QXNGV,No
0628-CNQRM,Yes
0634-SZPQA,Yes
0635-WKOLD,No
0637-KVDLV,Yes
0637-UBJRP,Yes
0637-YLETY,Yes
0639-TSIQW,Yes
0640-YJTPY,No
0641-EVBOJ,No
0643-OKLRP,Yes
0644-OQMDK,No
0650-BWOZN,No
0654-HMSHN,Yes
0654-PQKDW,No
0655-RBDUG,Yes
0655-YDGFJ,No
0657-DOGUM,No
0661-KBKPA,No
0661-KQHNK,No
0661-WCQNQ,No
0661-XEYAN,Yes
0665-XHDJU,No
0666-UXTJO,No
0667-NSRGI,No
0668-OGMHD,No
0670-ANMUU,No
0670-KDOMA,No
0673-IGUQO,No
0674-DGMAQ,No
0674-EYYZV,No
0674-GCDXG,No
0675-NCDYU,No
0678-RLHVP,No
0679-IDSTG,Yes
0679-TDGAK,No
0680-DFNNY,Yes
0682-USIXD,No
0684-AOSIH,Yes
0685-MLYYM,Yes
0687-ZVTHB,Yes
0689-DSXGL,No
0689-NKYLF,Yes
0690-SRQID,No
0691-IFBQW,Yes
0691-JVSYA,Yes
0691-NIKRI,No
0696-UKTOX,No
0697-ZMSWS,Yes
0699-NDKJM,No
0701-RFGFI,No
0701-TJSEF,No
0702-PGIBZ,Yes
0704-VCUMB,No
0707-HOVVN,No
0708-LGSMF,No
0708-SJDIS,No
0709-TVGUR,Yes
0716-BQNDX,No
0719-SYFRB,Yes
0722-SVSFK,No
0722-TROQR,Yes
0723-DRCLG,Yes
0723-FDLAY,No
0723-VSOBE,No
0725-CXOTM,No
0727-BMPLR,Yes
0727-BNRLG,No
0727-IWKVK,Yes
0730-BGQGF,No
0730-KOAVE,No
0731-EBJQB,No
0732-OCQOC,No
0733-VUNUW,Yes
0734-OXWBT,No
0739-UUAJR,No
0742-LAFQK,No
0742-MOABM,Yes
0742-NXBGR,Yes
0743-HNPFG,No
0743-HRVFF,No
0744-BIKKF,No
0744-GKNGE,No
0746-JTRFU,Yes
0748-RDGGM,Yes
0749-IRGQE,No
0750-EBAIU,No
0750-EKNGL,No
0754-EEBDC,No
0754-UKWQP,Yes
0756-MPZRL,No
0757-WCUUZ,No
0761-AETCS,Yes
0769-MURVM,No
0771-CHWSK,No
0771-WLCLA,No
0772-GYEQQ,Yes
0774-IFUVM,No
0774-RMNUW,No
0778-NELLA,Yes
0780-XNZFN,No
0781-LKXBR,Yes
0784-GTUUK,No
0784-ZQJZX,No
0786-IVLAW,No
0786-VSSUD,Yes
0787-LHDYT,No
0788-DXBFY,No
0793-TWELN,No
0794-YVSGE,No
0795-GMVQO,No
0795-LAFGP,No
0795-XCCTE,No
0799-DDIHE,No
0804-XBFBV,No
0804-YGEQV,No
0807-ZABDG,Yes
0810-BDHAW,No
0810-DHDBD,No
0811-GSDTP,No
0812-WUPTB,Yes
0813-TAXXS,No
0815-MFZGM,No
0816-TSPHQ,No
0817-HSUSE,No
0818-OCPZO,Yes
0820-FNRNX,No
0822-GAVAP,Yes
0822-QGCXA,No
0823-HSCDJ,Yes
0824-VWDPO,No
0825-CPPQH,No
0827-ITJPH,No
0829-DDVLK,No
0829-XXPLX,No
0831-JNISG,No
0835-DUUIQ,No
0835-JKADZ,No
0836-SEYLU,Yes
0839-JTCUD,No
0839-QNXME,No
0840-DCNZE,No
0840-DFEZH,No
0841-NULXI,Yes
0842-IWYCP,No
0843-WTBXE,Yes
0847-HGRML,No
0848-SOMKO,No
0848-ZGQIJ,No
0851-DFJKB,No
0853-NWIFK,No
0853-TWRVK,No
0854-UYHZD,No
0856-NAOES,No
0859-YGKFW,No
0862-PRCBS,No
0864-FVJNJ,No
0866-QLSIR,Yes
0867-LDTTC,No
0867-MKZVY,Yes
0868-VJRDR,No
0869-PAPRP,No
0870-VEMYL,Yes
0871-OPBXW,No
0871-URUWO,Yes
0872-CASZJ,No
0872-JCPIB,No
0872-NXJYS,Yes
0875-CABNR,Yes
0876-WDUUZ,Yes
0877-SDMBN,Yes
0880-FVFWF,No
0880-TKATG,Yes
0883-EIBTI,Yes
0885-HMGPY,No
0886-QGENL,Yes
0887-HJGAR,Yes
0887-WBJVH,No
0895-DQHEW,Yes
0895-LMRSF,No
0895-LNKRC,No
0895-UADGO,No
0897-FEGMU,Yes
0898-XCGTF,No
0899-LIIBW,No
0899-WZRSD,No
0902-RFHOF,No
0902-XKXPN,No
0906-QVPMS,No
0907-HQNTS,No
0909-SDHNU,No
0909-SELIE,No
0913-XWSCN,No
0916-KNFAJ,No
0916-QOFDP,No
0917-EZOLA,Yes
0921-OHLVP,No
0923-PNFUB,Yes
0924-BJCRC,No
0925-VYDLG,Yes
0927-CNGRH,No
0927-LCSMG,Yes
0928-JMXNP,No
0928-XUTSN,No
0929-HYQEW,No
0929-PECLO,No
0930-EHUZA,No
0931-MHTEM,No
0932-YIXYU,No
0936-NQLJU,No
0939-EREMR,No
0939-YAPAF,Yes
0940-OUQEC,Yes
0942-KOWSM,No
0943-ZQPXH,No
0945-TSONX,No
0946-CLJTI,Yes
0946-FKYTX,No
0947-IDHRQ,Yes
0947-MUGVO,Yes
0952-KMEEH,Yes
0953-LGOVU,No
0956-ACVZC,No
0956-SYCWG,No
0958-YHXGP,No
0959-WHOKV,No
0960-HUWBM,No
0961-ZWLVI,No
0962-CQPWQ,No
0963-ZBDRN,Yes
0967-BMLBD,No
0968-GSIKN,Yes
0969-RGKCU,No
0970-ETWGE,Yes
0970-QXPXW,No
0971-QIFJK,No
0973-KYVNF,No
0975-UYDTX,No
0975-VOOVL,No
0979-MOZQI,No
0979-PHULV,Yes
0980-FEXWF,No
0980-PVMRC,No
0983-TATYJ,No
0988-AADSA,No
0988-JRWWP,No
0991-BRRFB,Yes
0993-OSGPT,No
0997-YTLNY,No
0999-QXNSA,No
1000-AJSLD,Yes
1004-NOZNR,No
1009-IRMNA,Yes
1010-DIAUQ,Yes
1013-QCWAM,No
1015-JPFYW,No
1015-OWJKI,No
1016-DJTSV,No
1017-FBQMM,No
1020-JPQOW,No
1022-RKXDR,No
1023-BQXZE,No
1024-GUALD,Yes
1024-KPRBB,No
1024-VRZHF,Yes
1025-FALIX,No
1027-LKKQQ,No
1028-FFNJK,No
1029-QFBEN,Yes
1031-IIDEO,Yes
1032-MAELW,No
1035-IPQPU,No
1036-GUDCL,No
1038-RQOST,No
1038-ZAGBI,Yes
1041-RXHRA,Yes
1042-HFUCW,No
1043-UXOVO,No
1043-YCUTE,Yes
1045-LTCYT,No
1047-NNCBF,No
1047-RNXZV,No
1049-FYSYG,No
1051-EQPZR,No
1051-GEJLJ,No
1052-QJIBV,No
1053-MXTTK,No
1057-FOGLZ,No
1060-ENTOF,No
1061-PNTHC,No
1062-LHZOD,Yes
1063-DHQJF,No
1064-FBXNK,No
1066-JKSGK,Yes
1069-QJOEE,No
1069-XAIEM,Yes
1073-XXCZD,No
1074-AMIOH,No
1074-WVEVG,No
1075-BGWOH,Yes
1077-HUUJM,No
1078-TDCRN,No
1080-BWSYE,No
1084-MNSMJ,No
1084-UQCHV,Yes
1085-LDWAM,No
1086-LXKFY,Yes
1087-GRUYI,No
1087-UDSIH,Yes
1088-AUUZZ,No
1088-CNNKB,No
1089-HDMKP,No
1089-XZWHH,No
1090-ESELR,No
1090-PYKCI,No
1091-SOZGA,No
1092-GANHU,Yes
1092-WPIVQ,No
1093-YSWCA,No
1094-BKOSX,No
1095-JUDTC,Yes
1095-WGNGG,No
1096-ADRUX,No
1097-FSPVW,No
1098-KFQEC,No
1098-TDVUQ,No
1099-BTKWT,No
1099-GODLO,No
1100-DDVRV,No
1101-SSWAG,No
1104-FEJAM,No
1104-TNLZA,No
1106-HRLKZ,No
1110-KYLGQ,No
1112-CUNAO,Yes
1113-IUJYX,Yes
1114-CENIM,Yes
1116-DXXDF,No
1116-FRYVH,No
1120-BMWUB,Yes
1121-QSIVB,No
1122-JWTJW,Yes
1122-YJBCS,No
1125-SNVCK,No
1131-ALZWV,No
1131-QQZEB,No
1131-SUEKT,No
1133-KXCGE,No
1134-YWTYF,No
1135-HIORI,No
1135-LMECX,No
1136-XGEQU,No
1137-DGOWI,No
1139-WUOAH,No
1140-UKVZG,No
1142-IHLOO,No
1142-WACZW,Yes
1143-NMNQJ,Yes
1150-FTQGN,No
1150-WFARN,Yes
1153-GNOLC,No
1154-HYWWO,No
1156-ZFYDO,No
1157-BQCUW,Yes
1159-WFSGR,No
1162-ECVII,No
1163-ONYEY,No
1163-VIPRI,No
1166-PQLGG,No
1167-OYZJF,No
1169-SAOCL,No
1169-WCVAK,No
1170-SASML,No
1171-TYKUR,No
1172-VIYBP,No
1173-NOEYG,No
1173-XZPYF,No
1174-FGIFN,No
1177-XZBJL,No
1178-PZGAB,No
1179-INLAT,No
1183-CANVH,No
1184-PJVDB,Yes
1187-WILMM,No
1193-RTSLK,Yes
1194-BHJYC,No
1194-HVAIF,No
1194-SPVSP,No
1195-OIYEJ,Yes
1196-AMORA,Yes
1197-BVMVG,No
1200-TUZHR,No
1202-KKGFU,No
1205-WNWPJ,Yes
1206-EHBDD,No
1207-BLKSA,No
1208-DNHLN,Yes
1208-NBVFH,No
1209-VFFOC,No
1212-GLHMD,No
1213-NGCUN,Yes
1215-EXRMO,No
1215-FIGMP,No
1215-VFYVK,No
1216-BGTSP,No
1216-JWVUX,No
1217-VASWC,No
1218-VKFPE,Yes
1219-NNDDO,No
1221-GHZEP,No
1222-KJNZD,No
1222-LRYKO,No
1223-UNPKS,No
1226-IENZN,No
1226-JZNKR,No
1226-UDFZR,Yes
1227-UDMZR,No
1228-FZFRV,Yes
1228-ZLNBX,No
1229-RCALF,No
1230-QAJDW,No
1231-YNDEK,No
1236-WFCDV,Yes
1237-WIYYZ,No
1240-HCBOH,No
1240-KNSEZ,Yes
1241-EZFMJ,No
1241-FPMOF,No
1245-HARPS,No
1247-QBVSH,No
1248-DYXUB,No
1251-KRREG,Yes
1251-STYSZ,No
1254-IZEYF,Yes
1257-SXUXQ,No
1258-YMZNM,No
1260-TTRXI,Yes
1261-FWTTE,No
1262-OPMFY,Yes
1264-BYWMS,Yes
1264-FUHCX,No
1265-BCFEO,No
1265-HVPZB,No
1265-XTECC,Yes
1265-ZFOSD,No
1266-NZYUI,No
1268-ASBGA,Yes
1269-FOYWN,No
1270-XKUCC,No
1271-SJBGZ,Yes
1271-UODNO,No
1272-ILHFG,No
1273-MTETI,Yes
1282-IHQAC,No
1285-OKIPP,Yes
1291-CUOCY,No
1293-BSEUN,No
1293-HHSHJ,No
1297-VQDRP,No
1298-PHBTI,No
1299-AURJA,No
1301-LOPVR,No
1302-TPUBN,No
1302-UHBDD,No
1303-SRDOK,No
1304-BCCFO,No
1304-NECVQ,Yes
1304-SEGFY,No
1306-RPWXZ,No
1307-ATKGB,No
1307-TVUFB,No
1309-BXVOQ,Yes
1309-XGFSN,No
1310-QRITU,No
1319-YLZJG,No
1320-GVNHT,No
1320-HTRDR,Yes
1320-REHCS,No
1322-AGOQM,Yes
1323-OOEPC,Yes
1324-NLTJE,Yes
1325-USMEC,No
1328-EUZHC,No
1329-VHWNP,No
1333-PBMXB,No
1334-FJSVR,Yes
1334-PDUKM,No
1335-HQMKX,No
1335-MXCSE,No
1335-NTIUC,No
1336-EZFZY,No
1337-BOZWO,No
1338-CECEE,No
1342-JPNKI,Yes
1343-EHPYB,Yes
1345-GKDZZ,No
1345-ZUKID,No
1346-PJWTK,No
1346-UFHAX,No
1347-KTTTA,No
1349-WXNGG,Yes
1352-HNSAW,No
1352-VHKAJ,No
1353-GHZOS,No
1353-LJWEM,No
1354-YZFNB,No
1355-KUSBG,No
1356-MKYSK,No
1357-BIJKI,No
1357-MVDOZ,No
1360-JYXKQ,No
1360-RCYRT,No
1360-XFJMR,No
1363-TXLSL,Yes
1370-GGAWX,No
1371-DWPAZ,No
1371-OJCEK,No
1371-WEPDS,No
1373-ORVIZ,Yes
1374-DMZUI,Yes
1376-HHBDV,No
1379-FRVEB,No
1383-EZRWL,Yes
1384-RCUXW,No
1385-TQOZW,No
1386-ZIKUV,No
1389-CXMLU,Yes
1389-WNUIB,No
1391-UBDAR,No
1393-IMKZG,No
1394-SUIUH,No
1395-OFUWC,No
1395-WSWXR,No
1396-QWFBJ,Yes
1397-XKKWR,No
1399-OUPJN,No
1399-UBQIU,No
1400-MMYXY,Yes
1400-WIVLL,No
1401-FTHFQ,No
1402-PTHGN,No
1403-GYAFU,No
1403-LKLIK,No
1406-PUQVY,No
1407-DIGZV,No
1409-PHXTF,No
1410-RSCMR,No
1414-YADCW,No
1415-YFWLT,Yes
1421-HCERK,No
1422-DGUBX,No
1423-BMPBQ,No
1427-VERSM,No
1428-GTBJJ,Yes
1428-IEDPR,No
1429-UYJSV,No
1430-SFQSA,No
1431-AIDJQ,No
1431-CYWMH,No
1432-FPAXX,Yes
1436-ZMJAN,No
1439-LCGVL,No
1442-BQPVU,No
1442-OKRJE,No
1444-VVSGW,Yes
1447-GIQMR,Yes
1447-PJGGA,Yes
1448-CYWKC,No
1448-PWKYE,Yes
1449-XQEMT,Yes
1450-GALXR,Yes
1450-SKCVI,Yes
1452-KIOVK,No
1452-UZOSF,No
1452-VOQCH,No
1452-XRSJV,No
1453-RZFON,No
1455-ESIQH,Yes
1455-HFBXA,No
1455-UGQVH,Yes
1456-TWCGB,No
1459-QNFQT,No
1460-UZPRJ,No
1465-LNTLJ,No
1465-VINDH,Yes
1465-WCZVT,No
1468-DEFNC,No
1469-LBJQJ,No
1470-PSXNM,No
1471-GIQKQ,No
1472-TNCWL,No
1474-JUWSM,No
1475-VWVDO,No
1478-VPOAD,No
1480-BKXGA,No
1480-IVEVR,No
1481-ZUWZA,Yes
1482-OXZSY,No
1485-YDHMM,No
1488-PBLJN,No
1488-SYSFC,No
1492-KGETH,No
1492-QGCLU,No
1493-AMTIE,Yes
1494-EJZDW,No
1496-GGSUK,Yes
1498-DQNRX,No
1498-NHTLT,No
1501-SGHBW,Yes
1502-XFCVR,Yes
1506-YJTYT,No
1508-DFXCU,No
1513-XNPPH,Yes
1518-OMDIK,No
1518-VOWAV,Yes
1522-VVDMG,Yes
1525-LNLOJ,No
1527-SXDPN,Yes
1530-ZTDOZ,No
1534-OULXE,No
1535-VTJOQ,No
1536-HBSWP,No
1536-YHDOE,No
1539-LNKHM,No
1541-ETJZO,Yes
1543-LLLFT,No
1544-JJMYL,No
1545-ACTAS,No
1545-JFUML,No
1548-ARAGG,No
1548-FEHVL,No
1550-EENBN,No
1550-LOAHA,Yes
1552-AAGRX,No
1552-CZCLL,No
1552-TKMXS,No
1555-DJEQW,Yes
1555-HAPSU,No
1557-EMYVT,No
1559-DTODC,No
1561-BWHIN,No
1563-IWQEX,No
1564-HJUVY,No
1564-NTYXF,Yes
1565-RHDJD,Yes
1567-DSCIC,Yes
1568-BEKZM,No
1568-LJSZU,No
1569-TTNYJ,Yes
1571-SAVHK,Yes
1573-LGXBA,No
1574-DYCWE,No
1575-KRZZE,No
1576-PFZIW,No
1577-HKTFG,Yes
1579-KLYDT,Yes
1580-BMCMR,No
1582-RAFML,Yes
1583-IHQZE,Yes
1585-MQSSU,Yes
1587-FKLZB,Yes
1589-AGTLK,Yes
1591-MQJTP,No
1591-NFNLQ,Yes
1591-XWLGB,No
1596-BBVTG,Yes
1596-OQSPS,No
1597-FZREH,Yes
1597-LHYNC,Yes
1599-EAHXY,No
1599-MMYRQ,No
1600-DILPE,No
1602-IJQQE,Yes
1608-GMEWB,No
1612-EOHDH,Yes
1614-JBEBI,No
1618-CFHME,Yes
1619-YWUBB,No
1621-YNCJH,No
1622-HSHSF,No
1623-NLDOT,Yes
1624-NALOJ,Yes
1624-WOIWJ,Yes
1625-JAIIY,Yes
1626-ERCMM,Yes
1627-AFWVJ,No
1628-BIZYP,No
1629-DQQVB,No
1635-FJFCC,No
1635-HDGFT,No
1635-NZATJ,No
1636-NTNCO,No
1640-PLFMP,No
1641-BYBTK,No
1641-RQDAY,No
1642-HMARX,No
1644-IRKSF,Yes
1656-DRSMG,No
1657-DYMBM,No
1658-BYGOY,Yes
1658-TJVOA,No
1658-XUHBX,No
1660-HSOOQ,Yes
1661-CZBAU,No
1663-MHLHE,No
1666-JXLKU,No
1666-JZPZT,No
1670-SVOWZ,Yes
1676-MQAOA,No
1678-FYZOW,Yes
1679-JRFBR,No
1680-VDCWW,No
1682-VCOIO,No
1684-FLBGS,No
1685-BQULA,No
1685-VAYJF,No
1686-STUHN,No
1689-MRZQR,Yes
1689-YQBYY,No
1696-HXOWK,No
1696-MZVAU,No
1697-BCSHV,No
1697-LYYYX,No
1697-NVVGY,No
1698-XFZCI,No
1699-HPSBG,Yes
1699-TLDLZ,No
1699-UOTXU,No
1702-CCFNJ,No
1703-MGIAB,No
1704-NRWYE,Yes
1705-GUHPV,No
1707-HABPF,No
1708-PBBOA,No
1709-EJDOX,No
1710-RCXUS,No
1716-LSAMB,No
1722-LDZJS,No
1723-HKXJQ,Yes
1724-BQUHA,Yes
1724-IQWNM,No
1725-IQNIY,Yes
1725-MIMXW,Yes
1728-BQDMA,No
1728-CXQBE,No
1729-VLAZJ,No
1730-VFMWO,No
1730-ZMAME,No
1731-TVIUK,Yes
1732-FEKLD,No
1732-VHUBQ,Yes
1734-ZMNTZ,No
1735-XMJVH,No
1740-CSDJP,Yes
1741-WTPON,No
1744-JHKYS,No
1746-TGTWV,No
1750-CSKKM,Yes
1751-NCDLI,No
1752-OZXFY,No
1754-GKYPY,No
1755-FZQEC,No
1755-RMCXH,No
1757-TCATG,No
1760-CAZHT,No
1761-AEZZR,Yes
1763-KUAAW,No
1763-WQFUK,No
1764-VUUMT,No
1766-GKNMI,No
1767-CJKBA,No
1767-TGTKO,No
1768-HNVGJ,No
1768-ZAIFU,Yes
1769-GRUIK,No
1771-OADNZ,Yes
1775-KWJKQ,No
1776-SPBWV,No
1777-JYQPJ,No
1779-PWPMG,No
